id,book_title,genre
140a3d7e-a417-4c2b-96fe-32f9a2732693,Tarzan's Magic Fountain,Action|Adventure|Fantasy|Romance
b4eb8f48-2bbb-46bf-b836-017f9372c463,Possession,Drama|Horror|Mystery|Romance|Thriller
ac6644b2-9da8-439d-8d43-b27418acbc1e,"Best of Everything, The",Drama|Romance
273ddc90-fff0-4e29-a75c-39cb09cfff8e,Vamps,Comedy|Horror|Romance
ca2c0609-3e1d-4bac-a79c-d1ee0f9e7555,"Day of the Beast, The (Día de la Bestia, El)",Adventure|Comedy|Thriller
d2678f78-1cdc-4113-b335-e6bbf8a95449,"Turkish Dance, Ella Lola",(no genres listed)
e874c101-7ecb-4d13-a363-0a7f06d4313f,Lust for Love,Comedy|Romance
2aaf3991-b161-480d-85a0-56663e34e51a,"Fitzgerald Family Christmas, The",Drama
6e91dd83-91de-40d7-b755-e100da72f8db,Hellraiser: Deader,Horror
615ff2df-d4fc-4818-8a7c-034b853128a6,Sink the Bismark!,Action|Drama|War
5f7b55c1-58c7-4e99-82d4-030a62c8de0c,Gunless,Action|Comedy|Drama|Western
c11b25bb-711f-4537-b5d4-cea7b046f42b,State Fair,Comedy|Drama|Romance
916c8516-4c29-4146-b295-e02380a4e44f,Duck Soup,Comedy|Musical|War
f23dfac0-7780-4ff6-b159-3881916d6954,Swing,Comedy|Drama|Musical
16faecce-20ae-4384-850a-50787fe4a84a,"Foul King, The (Banchikwang)",Comedy
3e73bbba-f36e-4ede-beff-74fefcf178d7,New Scenes from America,Documentary
083a21b4-4214-479d-8388-1737e56583a9,"Time to Live, a Time to Die, A (Tong nien wang shi)",Drama
e578b06e-66e9-413a-b0e2-d387d00c907d,"Blacksmith, The",Comedy
10013066-8fae-4b91-9486-999aac5e84b7,Buried Alive,Film-Noir|Horror|Thriller
352ed6ef-8397-48cf-8b8e-434e23eddef8,Grande école,Drama
ddcf3a39-a3b5-4596-a5a8-cafcfda3843c,Relentless,Thriller
2dbf98ab-502e-44a7-8244-d04ff67638a8,"Stars Look Down, The",Drama
c3d57ba5-be85-4651-83e0-6512bf40f260,"Lady in Red, The",Action
2941b9c1-ff84-4239-aea2-9936014ddac4,Adios Carmen,Drama
4eac9c61-0760-4df2-9aea-5fe5a3e5488f,Garage Days,Comedy|Musical
0aac5842-f2cc-4cc2-96f3-d9ad121b108d,Thumbsucker,Comedy|Drama
f8ab6377-4db8-4356-92d5-6ad22196b07e,Blind Pig Who Wants to Fly (Babi buta yang ingin terbang),Drama
7fa0a414-6518-4d6a-a994-0e9289d5409d,Meet the Fockers,Comedy
58196665-6bb7-40d2-9780-b39fa4b0657f,Friday the 13th Part VI: Jason Lives,Horror
3da0e299-9916-48cf-bb57-de283ca97337,Superheroes,Action|Comedy|Documentary|Drama
0b948f82-e08b-4681-8d57-5855555563a1,Transit,Crime|Drama|Thriller
c831b54e-1521-43bf-868b-07679dea3efb,We'll Never Have Paris,Comedy|Romance
26465b6c-5114-4e2f-b23c-5c16c8d2acb0,"Man Who Left His Will on Film, The (Tôkyô sensô sengo hiwa)",Drama
e02b9740-925f-4323-9cbe-520525a2fb5b,Room for One More,Comedy
b42f7202-86c9-4800-85b7-b98f8905e25e,Africa addio,Documentary
1c36e1c5-d659-4e38-bd89-dd58697c1121,"Love Movie, The (Rakkauselokuva)",Comedy|Drama
e2ec523e-bdb4-4a6b-8b45-4b1d5191eb7f,Love Is a Woman (Death Is a Woman),Crime|Drama|Mystery
20f07fe1-d8bb-4608-8b6a-7a6db82148ba,Battle Beyond the Stars,Sci-Fi
944bb69d-4d26-4f1f-8449-ba14527aeb60,Sam's Song,Drama
ccc49120-e7db-4807-a105-dd947c9faad8,Beautiful,Comedy|Drama
01ab87dd-86bb-4aa1-b8ac-aafb31b1b09f,Harry Potter and the Deathly Hallows: Part 1,Action|Adventure|Fantasy|IMAX
0da49357-6374-4e78-9537-e8a9afb8270d,"Stranger, The (Straniero, Lo)",Drama
9aec6c90-05e3-43b3-9a26-a98516140f8a,Topper Returns,Comedy|Fantasy|Mystery|Romance
ebb58800-5e48-4666-88e2-2c60dd11233a,Dr. Gillespie's New Assistant,Comedy|Drama|Mystery
1da6be09-94df-4f65-bf0b-c98aae022c44,"Lay of the Land, The",Comedy|Drama
ff2dea5d-1406-48c7-9143-fe5a4c1a9123,Yumeji,Drama|Fantasy
4cc30652-cad1-4fb3-824c-34f89eab86db,Easier with Practice,Drama|Romance
6d724ab7-57c2-4677-bbd0-486b6fe09b78,Boogeyman,Drama|Horror|Mystery|Thriller
be2f7df6-9da1-49f6-aaac-159d22e34e57,"Wreck of the Mary Deare, The",Drama|Thriller
d15edf05-1952-4b11-84ed-0664fdd7942f,Veronica Guerin,Crime|Drama|Thriller
4eba4be5-f33c-491c-8a8b-8af659b3ff85,Glitter,Drama|Musical|Romance
41b9262f-1d2c-4bec-ab28-9b321da430ce,Teddy Bears' Picnic,Comedy
b3622be6-22e2-41f5-9012-e61e0abb9460,"Decoy Bride, The",Comedy|Romance
d9cc2057-3805-4221-b1a6-176090aceb92,Echoes of the Rainbow (Sui yuet san tau),Comedy|Drama|Romance
52dd0c42-44ab-4461-8e39-9807778a490c,Jean-Luc Cinema Godard,Documentary
3ec16369-ad1c-48fb-a9d6-20784ae2cd6e,Jacky in the Kingdom of Women,Comedy
c1d4cbd7-5ffa-46cc-90e8-6e3dec704523,The Dark Horse,Comedy
b6fa1236-489b-4466-baf0-70742ffa9273,Benny & Joon,Comedy|Romance
55780849-ad56-4cb6-8c9f-9cb4ef4e889c,Kaksi kotia (Dagmamman),Drama
25284205-3a85-4351-8c00-20b01343c0e3,Gridlock'd,Crime
3f5961e8-1ac7-4d4c-a611-562e8e55777b,"Flat, The",Documentary
e4f49d86-67a3-47d7-be51-3656ff471723,Black Roses ,Horror|Musical
3d7e2009-2efb-43bd-8839-72a6d35dbd8b,Birdy,Drama|War
5fe299db-cb1d-4bda-9e61-7c806ecbc7a6,Macbeth,Drama
832d0c72-3025-4104-9c13-e7fa61360079,Subspecies,Horror
1e1ca525-8f4c-4a92-aeae-558f8f49aedd,Breathing Room,Horror|Mystery|Thriller
d73e5c8d-1d8f-44b6-921c-75b945c7a671,Spencer's Mountain,Comedy|Drama
08aa7f17-53d4-466c-a39a-cadab18fed22,Apollo 13,Adventure|Drama|IMAX
c23a4c6a-6dc8-441b-9768-75ad0516bd64,Dead Ahead: The Exxon Valdez Disaster,Drama
0099403c-02de-4347-ac20-f169dd157454,"Troll in Central Park, A",Animation|Children
bde756a8-80ca-4a99-adea-830b59f8f204,Cyrus,Comedy|Drama|Romance
67edc628-12e6-4b79-b2fb-add72516aa15,"Honor Among Thieves (Adieu l'ami) (Farewell, Friend)",Action|Adventure|Crime|Drama|Mystery|Thriller
f7ff0c9d-cafe-4238-9807-ae83448a5902,Goodbye Charlie,Comedy|Fantasy|Romance
844ab63a-237d-405c-bc7f-86b22b9ee319,"Average Little Man, An (Un borghese piccolo piccolo)",Drama
781393aa-b19d-48e8-a1ab-437b37a4130e,Hitler: A Film from Germany (Hitler - ein Film aus Deutschland),Drama|War
500afbe4-41b3-48c5-9609-0751488c6c3c,Caótica Ana,Comedy|Drama|Mystery|Romance
e27473d7-85e6-4306-b59f-c66b5db6c164,"Oh, Woe Is Me (Hélas pour moi)",Comedy|Drama
091b0e0b-c004-43bb-9ed2-cee7287f9382,All Night Long,Comedy|Drama
fc32f3ff-9f21-4807-8ea3-16bc104e947c,I Am Love (Io sono l'amore),Drama|Romance
873ccc6d-3e52-4c3a-aa8a-c44a829d85df,Freddy Got Fingered,Comedy
816ee778-3578-4125-a40f-86b4171798ae,"Bride Came C.O.D., The",Comedy|Romance
36495f91-f679-4c61-8c5d-681fa69e191a,Afternoon Delight,Comedy|Drama
cdc1e3c8-4867-42c9-a549-78746a7ff9cc,Hidden (a.k.a. Cache) (Caché),Drama|Mystery|Thriller
65436b99-99e9-4be5-b5bf-57545e5563f5,"Devil and Miss Jones, The",Comedy|Romance
c4cf3c74-79ea-4911-8c16-00fd24f56dcf,"Fast & Furious (Fast and the Furious 4, The)",Action|Crime|Drama|Thriller
d714129c-078b-4087-b510-1d5d1134b6cc,Savage Streets,Action|Crime|Drama|Thriller
a8603abc-1fd5-4a3a-9d08-685fd6f2c65a,Four Days in July,Comedy|Drama
a194fecd-3bc2-4f96-a169-0713c85eb77f,Grouse,Comedy
7c59bb1c-83d5-454c-ab38-c5b569ceec78,Over the Brooklyn Bridge,Comedy
8cfc37c6-7563-4ddd-824d-386644721e3b,"Tillman Story, The",Documentary
8f22e9e4-b658-4750-b2a3-90e0d26f32e5,D-War (Dragon Wars),Action|Adventure|Drama|Fantasy
0b110579-0118-442c-80c4-6149e126c385,"Children of Heaven, The (Bacheha-Ye Aseman)",Comedy|Drama
7bce7759-897b-4d42-9a18-28f739106c1c,Take the Money and Run,Comedy|Crime
e0a2adfb-eacc-42ac-a082-a5899d7dcf0f,Hot Pepper,Documentary|Musical
bf55c497-304c-417a-aea0-bafc7106739f,Mannequin,Comedy|Romance
bf362eb5-b069-4051-9c5d-f7b0bc9dba1f,Merlusse,Comedy|Drama
e039f861-a09f-4413-a1f9-052288e65582,Pictures of the Old World (Obrazy starého sveta),Documentary
ade97f5b-2041-4ba0-a355-c5aa83519a8a,"My Wife, A Body to Love",(no genres listed)
1b3286dc-f543-4942-ba47-f34e2ed83ab7,The Little Matchgirl,Animation
f5ea386e-b9a8-4015-928f-97475b2090f1,"Cadaver Christmas, A",Comedy|Horror
4b405ae9-e1ef-496c-91c5-bc0a2fd36f8d,"Eye of Vichy, The (Oeil de Vichy, L')",Documentary
cac6d9d5-7bbd-4a3d-8b30-1f3094deab5c,Pearls and Pigs (Helmiä ja sikoja),Comedy
6db8d8a5-f9ca-4bea-a24f-2ac349a14fe1,"Quiet American, The",Drama|Romance|Thriller|War
51d37a3e-33b2-47fb-bf26-85c31df34929,French Kiss,Action|Comedy|Romance
f13f4490-3a68-454a-a9f5-2dcb15967e5b,Grateful Dead,Documentary
152f74a3-7dc6-4f27-af68-edc6db69a5a3,Original Sin,Drama|Romance|Thriller
a68d4f50-dd71-4a34-817f-fb59c2d9f399,San Quentin,Drama
8f2381c3-3417-46f1-a5cc-2f204c6ee7e0,The Left Handed Gun,Crime|Drama|Western
c27e0fc2-f060-4c7a-9b04-051727fd8f4b,"Message to Garcia, A",Drama|Romance
60240c70-068c-4314-a90e-580c4e54877a,Lady on a Train,Comedy|Crime|Film-Noir|Mystery|Romance|Thriller
3c314a46-d447-4d7e-900e-b8fea667e7c3,Maniac,Horror
9967bd51-e9c3-44d6-beee-3cc592fdd99b,The First Men in the Moon,Sci-Fi
884d18e2-f019-403f-b5b0-b451eb6d4bce,Donner Pass,Horror
81cbc01e-a3b1-47db-a129-c9fb87e1d90b,Point Blank (À bout portant),Action|Crime|Thriller
26718398-21b2-4fa7-842a-649bb041592c,"Rains Came, The",Adventure|Drama|Romance
63fe873c-fc5c-42f8-88d3-93c80c4cd6e9,Caesar and Cleopatra,Comedy|Drama|War
8ffac9f5-0406-45c9-a42f-566f797a17ad,And Your Mother Too (Y tu mamá también),Drama|Romance
8d9bce54-3ca0-48b3-9104-a4e782a89d84,3 Ninjas,Action|Children|Comedy
839627cf-c7d6-4bef-be6f-df6cf28c2851,The Bone Snatcher,Horror|Sci-Fi
cc30f566-7d28-486c-8f1a-b926307c7b29,I Heart Huckabees,Comedy
7d503952-f969-418b-8fdf-315089bb1fac,"Girl in the Red Velvet Swing, The",Crime|Drama|Romance
818de9fc-84f3-41cc-a4d2-e9bb121c2481,"One Potato, Two Potato",Drama
d43b4114-8896-48bb-b589-99e496c12d19,Sleepless Night (Nuit blanche),Action|Crime|Thriller
d450822a-963d-49d7-8550-f1b6e57bafd7,Paheli,Drama|Fantasy|Musical|Romance
0a619161-8342-47a1-80de-98c08c9cb807,"District, The (Nyócker!)",Animation|Comedy
e9ec0b27-9a59-4986-ae36-12004c559304,Monsieur Ibrahim (Monsieur Ibrahim et les fleurs du Coran),Drama
6cf260ab-0c41-4b51-b872-3eac265ec1bc,Manhattan Melodrama,Crime|Drama|Romance
f7d3a3c1-1e9e-497c-96c1-71d5b709c885,Some Girls,Comedy|Drama|Romance
9ceeda63-6e4c-47e9-8f38-04d7a9d1a14d,Mág,Drama
bd2ac644-c8b2-4e85-a768-679659abfe8a,Dr. Otto and the Riddle of the Gloom Beam,Comedy
515a8a37-ed19-4d7d-9bd3-f00d2b7d32f0,In the Folds of the Flesh,Drama|Horror|Thriller
bad1e6f1-ea9f-43c9-be71-febd1e5df24e,"Ivan the Terrible, Part One (Ivan Groznyy I)",Drama
26432c6b-9768-4ee3-b269-d5d6d24a194d,Blood Shot,Action|Comedy|Horror
115412f8-9003-4d6e-b661-4699a33af0f5,Race,Action|Comedy
0a2fd1d4-6645-40fb-9c27-348ec69607e5,Our Life (La nostra vita),Drama
c107bc4d-a63b-4303-92e2-ffa1f7a218c6,Remo Williams: The Adventure Begins,Action|Comedy|Crime|Thriller
d2f6d92b-21c4-4685-8a55-db857d32d0f3,Sholay,Action|Adventure|Comedy|Musical|Romance|Thriller
5f5c0812-4f8c-4e6b-8585-8bf32bb0ded0,"Quiet American, The",Drama|Romance|Thriller|War
08d30641-aed9-4630-b4d0-3eb2f8d87acc,You're Not You,Drama
8ccd5481-776d-4cf2-b44e-ae1e0db2da31,"Heartbeat Detector (Question humaine, La)",Drama|Thriller
29c41d23-9187-460f-84b8-7bc4568d8dd1,Berserk: The Golden Age Arc 3 - Descent,Action|Animation|Fantasy
f917e064-3b3a-4e5e-b1f9-a96dc0e382de,"Suburbans, The",Drama
87a1e64b-07df-4fca-96b7-9ef1258cca16,Alien Trespass,Comedy|Sci-Fi
6afd3062-8113-4358-acde-86d7ae8036c1,Taxi,Action|Comedy
f2044b77-c54a-48b7-bdb0-a9021788c17c,"It's Me, It's Me (Ore Ore)",Comedy|Drama|Sci-Fi
a41dd297-d5f9-49c0-b1dc-b0a2e26c554d,Levitated Mass,Documentary
ce294b6f-c7d2-4f5c-a238-6277a186596b,Waterboys,Comedy
3073cde7-8879-4c48-83fb-0c35920ab2b0,California Dreamin' (Nesfarsit),Comedy|Drama|War
a6a88301-0c91-412f-ac4a-f7d57b1aa7be,BloodRayne: Deliverance (BloodRayne II: Deliverance),Action|Fantasy|Western
dd9d7634-1941-4145-a322-499a60119cca,Meet Me at the Fair,Musical
a277a333-73b6-46f4-9fd4-74a81165cdc6,Cinderella,Children|Fantasy|Musical|Romance
4ebcc3ee-b28a-4ce4-8001-76d91dc01b30,King of Germany,Comedy
73bb7e11-685d-4e55-ae5a-8d8a7e9384ef,Cialo,Comedy|Crime
9be3c2a1-d25a-478a-be9e-8152774f4f8f,"Barbary Coast Gent (Gold Town) (Honest Thief, The)",Comedy|Western
bd9c324b-7bea-4f78-8fdb-c409cec6ec2a,Real Men,Comedy|Sci-Fi
4e990280-4118-4da2-94a8-324ae8397817,"Burglars, The (Le casse)",Action|Crime|Thriller
2cc44192-02a1-472e-b9b9-865dda6345c6,Hart's War,Drama|War
f293b6c6-ce7d-425a-ac60-f001574383b8,"Auntie from Chicago, The (I theia apo to Chicago)",Comedy|Romance
ea3232b7-e6e3-4839-94b6-6150ef7bd854,"Aviator, The",Adventure
29a50363-67c7-412d-a8bd-f22f5ff197b8,"Happy Ending, The",Drama
8c7c500b-c614-4bd4-a31c-d104e23bea22,8 Mile,Drama
5af334c1-e4ba-4515-8d48-e4cd9f1e3cfc,Curse of the Pink Panther,Comedy|Crime|Mystery
823cebcb-d303-46a7-904e-26433289bf73,Cotton Comes to Harlem,Action|Comedy
6c1aa172-e942-4a87-883d-d74bddbd5b4b,"Wog Boy, The",Comedy
bb6b73cb-2ad8-4e64-8637-0505b492f6e0,Mad Dog Time,Crime
badf662e-1b90-48ca-a8c2-8c2f8f519ebf,Tooth Fairy 2,Children|Comedy
ca459852-f219-4f98-bca5-5b3e0df9e488,I'm Starting From Three (Ricomincio da Tre),Comedy
ae257236-3eca-48ce-9fce-b1154f885f34,Trapped in Paradise,Comedy|Crime
729c7a26-78a9-4dbc-bc1f-00c3187f51c2,Paparazzi,Drama|Thriller
765976d9-d446-43d3-a65f-5e7e9f83c7be,Down by Law,Comedy|Drama|Film-Noir
d538408d-e375-454a-b524-991142d53951,"Water Horse: Legend of the Deep, The",Adventure|Children|Fantasy
42125aea-56ef-44f9-aa9e-a9defb0a9ffe,Dracula's Daughter,Drama|Horror
f684279c-3372-4546-80a6-14e2ec6c6a95,Enron: The Smartest Guys in the Room,Documentary
9f142b6d-8c5c-44e5-8f0f-57656f3ab686,Son of Paleface,Action|Comedy|Romance|Western
bd73e860-7d68-45f5-9d90-2bafd368b1e2,Irresistible,Drama|Thriller
fafaba64-f69f-4253-86fa-61d98f64657a,What's Your Number?,Comedy|Romance
d2c5cc87-5692-4cf0-beda-d32c608cc6de,'Salem's Lot,Drama|Horror|Mystery|Thriller
8bf8f09d-296f-4a48-b43e-5f28cb6dfd05,"Jackal, The",Action|Thriller
dc2fa4c2-4a4c-4c30-809d-335a0512f473,Yanco ,Drama
9e3bbed3-bd4b-4ef4-9490-64fc05b68d10,"Children of Huang Shi, The",Drama|War
b9b76494-2221-40bf-84f2-a0fe651d850e,Murder Party,Comedy|Drama|Horror|Thriller
06013b25-0559-4f37-96a1-327a424eb598,Kevin Smith: Too Fat For 40,Comedy
c7ad9025-fbba-4db1-861b-8905aa7d907d,Hot Coffee,Documentary
3da80755-c183-48f7-8429-8e8aaa32b375,Panic in Year Zero!,Horror|Sci-Fi|Thriller
d15b9998-44d9-47ae-94e4-a5e33e291b80,Men to Kiss,Comedy|Romance
243d6151-ed48-49a5-b90d-ea04b5224ac4,"Inkwell, The",Comedy|Drama
cf0f4fad-9257-4ee5-b270-7cb118590199,Return,Drama
71048575-0dd8-4c91-8d8a-63f5d188e8e0,Raiders From Beneath the Sea,Crime|Drama
2cb035f6-a4e2-437f-bcfb-d4c91d41fd7a,"Crazies, The (a.k.a. Code Name: Trixie)",Action|Drama|Horror|Sci-Fi|Thriller
baec633b-5f05-4f48-b871-b8b2f56d8971,"Signal, The",Sci-Fi|Thriller
2e823ada-57ed-47f5-857a-119f88ad3859,Flight of the Navigator,Adventure|Children|Sci-Fi
ea3b1da2-dcdf-4eaa-a7c5-e764dbfd1701,"Wonderful Ice Cream Suit, The",Children|Comedy|Fantasy
604a71dd-db22-47eb-8d83-f98cdcb90041,Nancy Drew: Detective,Comedy|Mystery
60cf7890-6947-4b7b-90ea-e2597039156f,"Scalphunters, The",Comedy|Western
718c8d2f-669a-4fb8-8428-42da52a055ab,5x2,Drama|Romance
fbf03392-0655-4c1e-8c49-a7e53fec1d2d,Intimate Strangers (Confidences trop intimes),Drama
22810a7f-c5b6-4e6d-9fb0-e8a94da02093,12 Years a Slave,Drama
155fb4a7-5162-4798-9463-6d6488e54941,"Guest, The",Thriller
e3082a45-2415-4b19-99bd-447d52cb9751,Werewolves on Wheels,Horror
6b46bf1f-a2f9-4879-b087-acd6ff3a4440,"Tree Grows in Brooklyn, A",Drama
40ae7a97-1b04-4563-8ad5-6dfc8ea8be6a,Brewster McCloud,Comedy
f6ce8764-5991-41aa-ac3d-4479b19d8fbe,28 Up,Documentary
0e597e67-4e91-47af-b65b-d09028e66671,"Twilight Saga: Breaking Dawn - Part 2, The",Adventure|Drama|Fantasy|Romance|IMAX
018ab99d-5859-4c80-ba6e-a20ca39eb851,"Exploding Girl, The",Drama
b3291df0-5d65-446a-9f02-b4bbe817f054,Winter of Discontent,Drama
079ca92b-9d13-44bb-97c8-f0850781e5d9,Swept Away (Travolti da un insolito destino nell'azzurro mare d'Agosto),Comedy|Drama
34af5300-27b9-4cfe-aede-dfcac791ed29,Dad Savage,Crime|Thriller
7d76a0e3-1410-4d46-a1ae-3a8529dbf56e,Wings of Honneamise (Ôritsu uchûgun Oneamisu no tsubasa),Animation|Drama|Sci-Fi|War
22248b52-6c5c-4187-814d-17e67200026a,Strange Brew,Comedy
cf75182b-0b7d-4bf7-b9b3-c555c7655eca,"Thing with Two Heads, The",Comedy|Horror|Sci-Fi
428f4519-8717-4808-baeb-4124ce576a3c,Fullmetal Alchemist the Movie: Conqueror of Shamballa (Gekijô-ban hagane no renkinjutsushi: Shanbara wo yuku mono),Action|Adventure|Animation|Drama
d6a697b6-104c-469e-a77f-9f6260641bd7,No Place to Hide,Thriller
c3ed7186-2227-4101-a062-8179b8b56a16,Carry on Spying (Agent Oooh!),Comedy
d58548e6-b307-4c72-ad64-b8860f966207,"Arise, My Love",Comedy|Drama|Romance
5519de3e-b3d1-429e-9752-6614481059e2,All Cheerleaders Die,Comedy|Horror|Thriller
c8021d5c-327c-4ee1-9279-6aefe9d2e267,Marley & Me,Comedy|Drama
20f1fca9-6fb5-4f18-a42f-ca61b06f6a88,Desperate Hours,Crime|Drama|Thriller
a68970bb-d53d-4a83-9598-41cb957a045e,Late Marriage (Hatuna Meuheret),Comedy|Drama|Romance
3b4f04c0-f0c3-44e4-844d-ea7fa67a6f31,Who'll Stop the Rain,Crime|Drama
79caa925-2727-4a1b-83fd-1c3e758376e1,Death Race 2000,Action|Sci-Fi
9abbf561-ef6a-420f-b3d0-f217325620af,"We and the I, The",Drama
4d0ae371-3d9e-46d9-98b9-cd82195837de,Rollerball,Action|Drama|Sci-Fi
bd856287-4c4a-4942-8ca5-e6e691c34dfe,I'll Cry Tomorrow,Drama
0c7de754-02ca-4c4c-940a-da60954e62c5,Dangerous Game,Drama
aa2b8ece-d29f-4670-a6a9-6f34bc8507b8,Nine Miles Down,Horror|Mystery|Thriller
0aae9e49-eed9-479c-87af-19eb00595208,Crime on the Highway,Comedy|Crime
5d2f0554-0fdd-4397-99db-7c60dbba6c6c,Moon Child,Action|Drama|Sci-Fi
ab1475bb-2901-4163-ab13-282012d9f78d,Earth,Documentary
881950f7-27e2-4b77-ba61-bd968ff36066,Beyond the Gates of Splendor,Documentary
3b04f23f-84a9-4c59-be85-0df8476f26a8,Tube Tales,Drama
7cd87a38-7434-4af2-843a-65fe70ca025d,Halo 4: Forward Unto Dawn,Action|Sci-Fi|Thriller
6548c518-649f-4691-85a8-f9ff74fdc5a4,A Patriotic Man,Comedy|Drama
f9d61822-9df7-4431-8c26-f8490e190adf,"Way of the Dragon, The (a.k.a. Return of the Dragon) (Meng long guo jiang)",Action|Crime
a2588373-b76b-4120-b76a-0da9e308e30b,"Girl Said No, The",Comedy|Romance
9ccb73c9-9b0e-47a4-af11-1d0db0d09e6a,Escape from Dartmoor,Crime|Drama
da14b3a7-decd-40ec-a3b8-b11141513644,"Shanghai Gesture, The",Drama|Film-Noir
19117454-a05b-40da-904f-cbdf332f3af8,"Big Bounce, The",Comedy|Crime|Thriller
855ce02b-43ef-40c2-a4a7-d98ab3f7d0f9,"Private Function, A",Comedy
0f899fa6-3f19-4887-977e-e340a0422b90,12 Angry Men,Drama
eaf78034-f134-4ee5-9089-2c1c04cf3853,"Strangers, The",Horror|Thriller
e6873436-e36a-4033-8bec-9ed72bf6c033,King Kong,Action|Adventure|Drama|Fantasy|Thriller
a425a6ed-6578-4fe5-a77c-f1fab123c3cf,Cult of the Cobra,Horror
60d98c08-6f36-4a07-8070-0f7ffe127ddf,Joe Somebody,Comedy|Drama|Romance
845cc257-a7ed-43a0-a286-ed6d0f5a6a6b,"Time Machine, The",Action|Adventure|Sci-Fi
f637b78a-1546-4527-95dd-2771279fb1e1,Rookie of the Year,Comedy|Fantasy
8b0b8373-d14c-411b-ba16-41cf845ec36b,"Soldier's Story, A",Drama
c38c861c-5427-494c-a518-e97134cfa699,Russia 88,Drama
7ed09d2f-a2a0-4a11-906c-a34d939a43bf,Favela Rising,Documentary
9fd6159a-a4fc-4b2f-b9b9-920770f8eaeb,(Untitled),Comedy|Drama
